日付,時刻,顔グリッド温度[degC],推定環境温度[degC],測定距離[cm],推定体温[degC]
2022-07-17,16:30,35.9,25.0,30.5,36.4
2022-07-17,16:30,36.3,25.0,25.5,36.6
